"host","region","service","ctlPerf","workload","count","ms","node","ts"
"192.168.137.242","ASI","index.html","1","240","10","91","3","1686483593448"
"192.168.137.193","USA","index.html","2","320","10","50","3","1686483593441"
"192.168.137.220","ASI","APP","2","319","10","75","1","1686483593449"
"192.168.137.201","EUR","APP","1","338","11","107","4","1686483593450"
"192.168.137.210","USA","APP","2","324","11","72","3","1686483593456"
"192.168.137.242","EUR","FILE","0","283","11","116","4","1686483593466"
"192.168.137.210","EUR","APP","0","344","12","198","6","1686483593476"
"192.168.137.201","EUR","FILE","2","376","12","73","6","1686483593476"
"192.168.137.201","ASI","index.html","2","398","13","65","1","1686483593487"
"192.168.137.210","USA","index.html","2","365","13","70","4","1686483593492"
"192.168.137.240","EUR","APP","1","102","5","114","6","1686483593517"
"192.168.137.196","USA","APP","2","221","8","60","4","1686483593517"
"192.168.137.230","ASI","FILE","1","269","9","109","2","1686483593517"
"192.168.137.240","USA","index.html","0","119","6","139","3","1686483593523"
"192.168.137.218","USA","APP","0","239","9","117","3","1686483593521"
"192.168.137.180","ASI","FILE","0","286","9","163","2","1686483593521"
"192.168.137.200","EUR","FILE","1","261","8","87","6","1686483593524"
"192.168.137.240","ASI","APP","2","148","7","75","1","1686483593527"
"192.168.137.202","ASI","index.html","1","283","10","110","2","1686483593520"
"192.168.137.240","EUR","index.html","2","173","8","55","4","1686483593557"
"192.168.137.196","EUR","index.html","0","236","9","182","4","1686483593527"
"192.168.137.193","USA","APP","0","340","11","198","4","1686483593532"
"192.168.137.241","EUR","FILE","2","300","10","57","7","1686483593531"
"192.168.137.240","EUR","FILE","2","214","9","51","5","1686483593561"
"192.168.137.182","ASI","APP","2","250","9","53","2","1686483593532"
"192.168.137.220","EUR","FILE","0","357","11","159","5","1686483593532"
"192.168.137.190","EUR","APP","2","258","10","72","4","1686483593532"
"192.168.137.242","USA","index.html","1","304","12","82","3","1686483593533"
"192.168.137.210","USA","APP","0","387","14","153","3","1686483593542"
"192.168.137.201","USA","FILE","1","433","14","111","4","1686483593551"
"192.168.137.218","EUR","index.html","2","260","10","70","5","1686483593555"
"192.168.137.200","USA","APP","1","285","9","110","4","1686483593582"
"192.168.137.226","EUR","index.html","1","200","9","110","6","1686483593588"
"192.168.137.180","ASI","index.html","0","305","10","117","1","1686483593587"
"192.168.137.236","USA","APP","1","343","11","98","3","1686483593541"
"192.168.137.240","EUR","FILE","1","248","10","79","6","1686483593574"
"192.168.137.202","EUR","FILE","2","320","11","48","7","1686483593579"
"192.168.137.190","EUR","index.html","1","280","11","78","5","1686483593593"
"192.168.137.230","EUR","APP","1","301","10","94","5","1686483593581"
"192.168.137.242","ASI","APP","2","337","13","55","2","1686483593594"
"192.168.137.196","ASI","APP","2","274","10","48","3","1686483593594"
"192.168.137.241","ASI","index.html","2","327","11","48","1","1686483593589"
"192.168.137.201","ASI","index.html","0","450","15","138","2","1686483593608"
"192.168.137.182","EUR","APP","2","280","10","73","6","1686483593627"
"192.168.137.193","ASI","APP","2","373","12","50","2","1686483593614"
"192.168.137.226","USA","FILE","1","239","10","106","3","1686483593632"
"192.168.137.200","USA","APP","0","313","10","119","4","1686483593649"
"192.168.137.180","USA","APP","2","339","11","73","3","1686483593636"
"192.168.137.218","USA","APP","2","292","11","75","4","1686483593608"
"192.168.137.240","EUR","index.html","0","264","11","179","6","1686483593636"
"192.168.137.220","USA","FILE","0","390","12","196","3","1686483593617"
"192.168.137.190","ASI","APP","1","312","12","90","3","1686483593640"
"192.168.137.210","USA","FILE","0","430","15","189","3","1686483593649"
"192.168.137.236","ASI","FILE","0","382","12","143","2","1686483593651"
"192.168.137.230","EUR","FILE","2","334","11","67","4","1686483593657"
"192.168.137.202","EUR","index.html","0","338","12","131","5","1686483593651"
"192.168.137.242","EUR","FILE","1","366","14","118","7","1686483593660"
"192.168.137.196","ASI","FILE","2","322","11","68","2","1686483593659"
"192.168.137.241","USA","APP","2","364","12","54","3","1686483593667"
"192.168.137.200","ASI","FILE","0","343","11","125","3","1686483593696"
"192.168.137.240","EUR","APP","1","293","12","111","5","1686483593705"
"192.168.137.220","ASI","FILE","0","426","13","170","2","1686483593704"
"192.168.137.182","USA","APP","1","309","11","81","3","1686483593692"
"192.168.137.180","USA","index.html","0","356","12","142","4","1686483593705"
"192.168.137.218","USA","index.html","1","311","12","98","4","1686483593706"
"192.168.137.201","EUR","FILE","1","489","16","94","4","1686483593693"
"192.168.137.193","ASI","APP","0","393","13","182","2","1686483593696"
"192.168.137.190","ASI","index.html","2","333","13","75","1","1686483593709"
"192.168.137.226","ASI","FILE","2","293","11","45","3","1686483593696"
"192.168.137.210","EUR","index.html","2","453","16","60","5","1686483593716"
"192.168.137.230","EUR","APP","1","361","12","114","5","1686483593721"
"192.168.137.236","EUR","APP","1","405","13","118","5","1686483593703"
"192.168.137.196","USA","index.html","2","345","12","60","3","1686483593712"
"192.168.137.241","ASI","index.html","2","384","13","77","2","1686483593720"
"192.168.137.242","USA","FILE","2","401","15","61","4","1686483593739"
"192.168.137.202","EUR","index.html","0","353","13","187","7","1686483593735"
"192.168.137.220","ASI","index.html","0","442","14","161","3","1686483593734"
"192.168.137.240","EUR","FILE","1","326","13","114","5","1686483593734"
"192.168.137.226","ASI","FILE","2","344","12","57","2","1686483593773"
"192.168.137.218","USA","APP","2","342","13","59","4","1686483593745"
"192.168.137.210","USA","APP","0","478","17","196","4","1686483593774"
"192.168.137.200","EUR","index.html","1","363","12","88","6","1686483593748"
"192.168.137.230","EUR","index.html","2","382","13","73","4","1686483593775"
"192.168.137.241","ASI","FILE","0","416","14","111","3","1686483593774"
"192.168.137.193","ASI","FILE","2","439","14","60","2","1686483593769"
"192.168.137.180","EUR","APP","0","382","13","152","4","1686483593761"
"192.168.137.190","USA","index.html","1","351","14","116","4","1686483593769"
"192.168.137.182","ASI","APP","0","339","12","140","1","1686483593760"
"192.168.137.242","EUR","FILE","0","446","16","112","5","1686483593780"
"192.168.137.201","USA","FILE","0","525","17","112","4","1686483593769"
"192.168.137.236","USA","FILE","1","450","14","82","4","1686483593775"
"192.168.137.220","EUR","index.html","1","460","15","111","6","1686483593781"
"192.168.137.240","USA","FILE","0","354","14","190","3","1686483593783"
"192.168.137.200","ASI","FILE","1","407","13","110","1","1686483593819"
"192.168.137.196","USA","APP","1","371","13","95","3","1686483593793"
"192.168.137.241","EUR","FILE","2","453","15","69","4","1686483593814"
"192.168.137.202","EUR","FILE","1","401","14","87","7","1686483593826"
"192.168.137.236","USA","FILE","1","494","15","90","3","1686483593820"
"192.168.137.201","ASI","FILE","1","557","18","110","2","1686483593834"
"192.168.137.226","EUR","index.html","0","359","13","189","7","1686483593830"
"192.168.137.220","USA","FILE","2","509","16","73","4","1686483593851"
"192.168.137.218","USA","FILE","2","377","14","76","3","1686483593828"
"192.168.137.182","ASI","FILE","2","387","13","47","1","1686483593835"
"192.168.137.230","EUR","index.html","1","400","14","108","7","1686483593834"
"192.168.137.242","EUR","APP","0","471","17","162","4","1686483593837"
"192.168.137.210","USA","index.html","0","494","18","178","4","1686483593832"
"192.168.137.193","EUR","FILE","0","471","15","177","6","1686483593833"
"192.168.137.180","ASI","FILE","1","411","14","105","3","1686483593834"
"192.168.137.200","EUR","FILE","1","443","14","76","7","1686483593866"
"192.168.137.196","USA","index.html","2","392","14","73","4","1686483593851"
"192.168.137.190","ASI","FILE","1","397","15","108","3","1686483593845"
"192.168.137.202","EUR","index.html","2","428","15","46","6","1686483593852"
"192.168.137.236","ASI","FILE","0","533","16","159","1","1686483593857"
"192.168.137.241","EUR","index.html","2","478","16","53","5","1686483593867"
"192.168.137.196","USA","FILE","1","424","15","76","3","1686483593896"
"192.168.137.240","ASI","index.html","2","380","15","51","3","1686483593872"
"192.168.137.220","ASI","index.html","1","531","17","76","1","1686483593887"
"192.168.137.218","EUR","APP","2","411","15","76","4","1686483593902"
"192.168.137.230","USA","FILE","0","433","15","108","4","1686483593902"
"192.168.137.236","ASI","APP","0","555","17","148","3","1686483593902"
"192.168.137.182","ASI","APP","2","424","14","47","1","1686483593902"
"192.168.137.190","EUR","FILE","0","426","16","192","7","1686483593903"
"192.168.137.201","USA","APP","0","588","19","104","4","1686483593889"
"192.168.137.226","EUR","FILE","0","390","14","195","7","1686483593898"
"192.168.137.202","USA","FILE","1","464","16","117","4","1686483593897"
"192.168.137.193","USA","index.html","1","491","16","90","3","1686483593914"
"192.168.137.180","EUR","index.html","2","435","15","58","7","1686483593913"
"192.168.137.210","EUR","APP","1","522","19","87","5","1686483593913"
"192.168.137.242","ASI","APP","2","502","18","73","1","1686483593915"
"192.168.137.240","EUR","FILE","2","431","16","53","6","1686483593931"
"192.168.137.241","USA","APP","1","508","17","99","3","1686483593944"
"192.168.137.200","ASI","index.html","2","467","15","59","3","1686483593911"
"192.168.137.196","EUR","APP","0","455","16","140","7","1686483593931"
"192.168.137.230","EUR","index.html","1","455","16","76","4","1686483593932"
"192.168.137.218","USA","index.html","2","435","16","59","4","1686483593946"
"192.168.137.236","ASI","FILE","1","584","18","105","2","1686483593951"
"192.168.137.182","EUR","APP","0","453","15","168","5","1686483593951"
"192.168.137.220","ASI","FILE","2","563","18","79","2","1686483593948"
"192.168.137.190","EUR","FILE","0","460","17","159","5","1686483593953"
"192.168.137.202","EUR","FILE","1","508","17","103","4","1686483593952"
"192.168.137.226","ASI","APP","2","425","15","47","2","1686483593954"
"192.168.137.242","ASI","index.html","2","526","19","58","2","1686483593983"
"192.168.137.180","EUR","APP","0","460","16","182","6","1686483593956"
"192.168.137.190","EUR","FILE","1","502","18","106","7","1686483593988"
"192.168.137.201","USA","FILE","2","625","20","62","3","1686483593962"
"192.168.137.193","EUR","FILE","0","527","17","176","4","1686483593963"
"192.168.137.200","ASI","FILE","2","508","16","59","1","1686483593982"
"192.168.137.218","USA","index.html","2","463","17","44","4","1686483593983"
"192.168.137.230","USA","index.html","2","476","17","71","4","1686483593983"
"192.168.137.236","USA","APP","2","618","19","42","3","1686483593982"
"192.168.137.240","ASI","APP","2","465","17","51","3","1686483593983"
"192.168.137.220","EUR","APP","1","592","19","85","5","1686483593984"
"192.168.137.241","EUR","FILE","1","542","18","91","7","1686483593982"
"192.168.137.196","ASI","index.html","2","485","17","40","3","1686483593982"
"192.168.137.226","USA","FILE","0","457","16","118","3","1686483593988"
"192.168.137.182","USA","FILE","0","485","16","133","3","1686483594010"
"192.168.137.210","EUR","APP","1","553","20","86","5","1686483594001"
"192.168.137.241","ASI","APP","1","574","19","93","1","1686483594036"
"192.168.137.190","ASI","index.html","0","518","19","161","1","1686483594037"
"192.168.137.180","ASI","index.html","1","481","17","79","3","1686483594023"
"192.168.137.242","ASI","FILE","0","572","20","148","3","1686483594024"
"192.168.137.193","USA","FILE","1","562","18","88","3","1686483594026"
"192.168.137.200","ASI","index.html","2","531","17","63","2","1686483594040"
"192.168.137.201","EUR","index.html","1","646","21","85","4","1686483594039"
"192.168.137.202","ASI","APP","1","534","18","94","2","1686483594033"
"192.168.137.230","EUR","index.html","1","494","18","106","7","1686483594034"
"192.168.137.196","EUR","FILE","0","527","18","180","6","1686483594036"
"192.168.137.240","EUR","FILE","0","494","18","140","5","1686483594037"
"192.168.137.220","ASI","index.html","0","608","20","154","3","1686483594042"
"192.168.137.226","EUR","index.html","2","479","17","69","5","1686483594043"
"192.168.137.182","USA","FILE","0","511","17","158","3","1686483594047"
"192.168.137.210","ASI","index.html","0","572","21","109","3","1686483594056"
"192.168.137.236","ASI","APP","1","644","20","104","1","1686483594056"
"192.168.137.242","USA","APP","2","604","21","73","4","1686483594082"
"192.168.137.218","EUR","index.html","1","481","18","111","7","1686483594057"
"192.168.137.200","ASI","APP","2","567","18","41","3","1686483594085"
"192.168.137.201","EUR","FILE","1","688","22","113","7","1686483594096"
"192.168.137.182","EUR","index.html","0","526","18","183","4","1686483594096"
"192.168.137.242","ASI","FILE","2","658","22","51","3","1686483594098"
"192.168.137.210","EUR","APP","0","599","22","159","6","1686483594097"
"192.168.137.236","ASI","APP","2","682","21","58","1","1686483594097"
"192.168.137.193","EUR","APP","1","596","19","79","5","1686483594082"
"192.168.137.190","USA","index.html","2","540","20","65","3","1686483594095"
"192.168.137.241","USA","APP","1","608","20","81","3","1686483594095"
"192.168.137.202","ASI","APP","0","554","19","183","2","1686483594095"
"192.168.137.180","EUR","FILE","2","525","18","62","4","1686483594095"
"192.168.137.220","USA","FILE","2","648","21","66","3","1686483594095"
"192.168.137.226","EUR","FILE","1","510","18","118","6","1686483594096"
"192.168.137.196","ASI","FILE","1","574","19","101","2","1686483594100"
"192.168.137.240","EUR","FILE","1","541","19","90","7","1686483594100"
"192.168.137.230","USA","APP","1","521","19","108","4","1686483594100"
"192.168.137.226","USA","FILE","1","549","19","87","3","1686483594136"
"192.168.137.201","EUR","FILE","2","737","23","54","5","1686483594125"
"192.168.137.182","ASI","FILE","0","573","19","118","3","1686483594128"
"192.168.137.218","EUR","FILE","0","520","19","145","7","1686483594122"
"192.168.137.200","USA","index.html","0","584","19","135","3","1686483594123"
"192.168.137.210","USA","APP","1","634","23","80","3","1686483594149"
"192.168.137.236","EUR","APP","2","720","22","44","6","1686483594147"
"192.168.137.240","USA","APP","2","571","20","74","3","1686483594139"
"192.168.137.230","USA","index.html","1","539","20","116","3","1686483594171"
"192.168.137.241","EUR","index.html","2","637","21","42","6","1686483594159"
"192.168.137.193","ASI","FILE","2","633","20","70","1","1686483594148"
"192.168.137.242","ASI","APP","0","685","23","132","3","1686483594149"
"192.168.137.190","EUR","FILE","2","575","21","76","5","1686483594154"
"192.168.137.196","USA","APP","1","603","20","106","4","1686483594185"
"192.168.137.202","USA","index.html","1","572","20","111","3","1686483594161"
"192.168.137.201","USA","APP","0","760","24","178","3","1686483594187"
"192.168.137.226","USA","index.html","1","568","20","99","4","1686483594188"
"192.168.137.220","USA","FILE","0","692","22","181","4","1686483594168"
"192.168.137.180","USA","FILE","0","566","19","149","3","1686483594165"
"192.168.137.241","USA","APP","0","665","22","140","4","1686483594198"
"192.168.137.210","USA","index.html","1","653","24","104","3","1686483594188"
"192.168.137.182","EUR","APP","1","608","20","79","7","1686483594188"
"192.168.137.200","ASI","APP","1","616","20","77","3","1686483594188"
"192.168.137.240","USA","FILE","2","629","21","41","4","1686483594199"
"192.168.137.236","EUR","APP","0","742","23","150","7","1686483594214"
"192.168.137.230","EUR","index.html","1","559","21","88","7","1686483594192"
"192.168.137.218","USA","index.html","1","538","20","116","4","1686483594202"
"192.168.137.210","ASI","APP","2","692","25","50","1","1686483594230"
"192.168.137.193","EUR","FILE","1","670","21","77","6","1686483594218"
"192.168.137.180","ASI","APP","0","870","29","158","2","1686483594655"
"192.168.137.190","EUR","index.html","1","857","31","101","6","1686483594665"
"192.168.137.201","ASI","APP","0","1091","35","197","2","1686483594665"
"192.168.137.230","ASI","index.html","0","890","31","121","1","1686483594665"
"192.168.137.226","EUR","index.html","0","865","31","159","5","1686483594670"
"192.168.137.200","ASI","APP","1","891","31","103","1","1686483594666"
"192.168.137.193","EUR","index.html","0","902","30","178","4","1686483594665"
"192.168.137.220","EUR","index.html","0","977","33","105","4","1686483594694"
"192.168.137.182","ASI","APP","1","941","30","79","1","1686483594679"
"192.168.137.218","EUR","index.html","2","779","29","51","6","1686483594678"
"192.168.137.236","EUR","FILE","1","998","33","96","6","1686483594694"
"192.168.137.180","USA","FILE","0","906","30","109","4","1686483594697"
"192.168.137.241","EUR","FILE","1","951","32","107","4","1686483594680"
"192.168.137.190","USA","APP","0","880","32","184","3","1686483594702"
"192.168.137.210","EUR","index.html","1","992","36","78","6","1686483594681"
"192.168.137.193","ASI","FILE","1","941","31","109","1","1686483594708"
"192.168.137.201","ASI","FILE","2","1142","36","48","3","1686483594703"
"192.168.137.202","EUR","FILE","0","910","31","101","4","1686483594708"
"192.168.137.200","ASI","FILE","2","941","32","67","2","1686483594716"
"192.168.137.230","EUR","index.html","1","908","32","110","7","1686483594727"
"192.168.137.241","USA","index.html","0","1238","43","164","4","1686483595230"
"192.168.137.202","EUR","FILE","1","612","21","101","4","1686483594236"
"192.168.137.196","USA","FILE","1","636","21","117","4","1686483594230"
"192.168.137.196","USA","APP","0","893","31","162","4","1686483594715"
"192.168.137.190","ASI","APP","2","610","22","44","1","1686483594236"
"192.168.137.210","USA","index.html","1","1010","37","114","4","1686483594726"
"192.168.137.242","USA","FILE","1","730","24","90","4","1686483594234"
"192.168.137.180","USA","FILE","0","934","31","143","3","1686483594741"
"192.168.137.220","ASI","APP","2","731","23","51","3","1686483594225"
"192.168.137.200","EUR","FILE","1","983","33","114","4","1686483594747"
"192.168.137.236","USA","APP","1","1029","34","105","4","1686483594741"
"192.168.137.226","ASI","APP","1","596","21","117","3","1686483594225"
"192.168.137.220","USA","index.html","2","998","34","72","3","1686483594741"
"192.168.137.201","EUR","FILE","1","798","25","77","5","1686483594225"
"192.168.137.218","USA","index.html","2","808","30","43","3","1686483594741"
"192.168.137.226","USA","FILE","2","915","32","70","3","1686483594736"
"192.168.137.180","ASI","index.html","1","584","20","110","1","1686483594237"
"192.168.137.182","EUR","FILE","2","662","21","44","5","1686483594229"
"192.168.137.201","ASI","index.html","1","1161","37","101","1","1686483594742"
"192.168.137.190","ASI","FILE","1","909","33","119","2","1686483594742"
"192.168.137.182","ASI","index.html","1","961","31","88","3","1686483594737"
"192.168.137.210","EUR","index.html","2","714","26","67","6","1686483594248"
"192.168.137.241","ASI","FILE","0","698","23","181","1","1686483594244"
"192.168.137.196","EUR","APP","0","914","32","156","7","1686483594750"
"192.168.137.241","EUR","index.html","0","970","33","117","5","1686483594743"
"192.168.137.202","EUR","FILE","1","946","32","106","7","1686483594744"
"192.168.137.240","ASI","FILE","1","665","22","89","1","1686483594266"
"192.168.137.218","EUR","index.html","0","554","21","172","7","1686483594247"
"192.168.137.226","EUR","APP","1","946","33","76","5","1686483594773"
"192.168.137.180","EUR","index.html","2","954","32","79","7","1686483594771"
"192.168.137.193","EUR","APP","1","974","32","83","7","1686483594763"
"192.168.137.230","EUR","FILE","1","597","22","88","7","1686483594243"
"192.168.137.240","ASI","index.html","0","797","27","101","2","1686483595290"
"192.168.137.241","ASI","index.html","1","718","24","86","1","1686483594278"
"192.168.137.193","USA","FILE","0","707","22","119","4","1686483594256"
